City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
544,Tarnów,PL,61.72,broken clouds,50.0138,20.987,Hotel Tarnovia
554,Malanje,AO,67.59,clear sky,-9.5402,16.341,Malanje Hotel
556,La Rochelle,FR,64.47,light rain,46.1667,-1.15,Hotel Henri IV
557,Canary Islands,ES,66.4,few clouds,28.0,-15.5,Villa del Monte
558,Maragogi,BR,71.96,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
562,Coihueco,CL,61.54,clear sky,-36.6167,-71.8333,Frutillares Coihueco
563,Zaria,NG,70.9,overcast clouds,11.1113,7.7227,A.B.U Hotels
565,Piaçabuçu,BR,71.67,broken clouds,-10.4056,-36.4344,Piaçabuçu News
575,Port Hawkesbury,CA,70.72,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
581,Fatezh,RU,60.78,scattered clouds,52.0891,35.8632,"Hotel ""Fatezh"""
592,Yumbe,UG,62.92,light rain,3.4651,31.2469,Terrain Hotel
596,Gori,GE,65.48,clear sky,41.9842,44.1158,Guesthouse MK
597,Richards Bay,ZA,64.4,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
599,Nantucket,US,73.02,clear sky,41.2835,-70.0995,Jared Coffin House
600,Šibenik,HR,74.86,few clouds,43.7272,15.9058,Hotel Jadran
601,Mazamet,FR,71.08,clear sky,43.49,2.373,La Villa de Mazamet
608,Baltasi,RU,66.07,broken clouds,56.3462,50.2062,Baza Otdykha Kara-Kul'
609,Hualmay,PE,65.44,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
612,Calatayud,ES,73.98,overcast clouds,41.3535,-1.6432,Hotel Monasterio Benedictino
614,Kutno,PL,63.18,light rain,52.2306,19.3641,Hotel Stacja Kutno
622,Inhambane,MZ,63.37,clear sky,-23.865,35.3833,Oceano
623,Suleja,NG,74.39,light rain,9.1758,7.1808,Capy Motel
624,Ust-Tsilma,RU,62.29,overcast clouds,65.441,52.1498,U Praskov'i
626,Zwedru,LR,71.71,overcast clouds,6.0667,-8.1281,Elijah Worjloh
627,Mahon,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
628,Derzhavīnsk,KZ,69.66,scattered clouds,51.1,66.3167,Ooo.khim Baza
629,Bukoba,TZ,71.31,overcast clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
634,Rurrenabaque,BO,71.83,scattered clouds,-14.4413,-67.5278,Casa de Campo
635,Atkarsk,RU,67.01,overcast clouds,51.8718,45.0078,Hotel Kareta
641,Lafiagi,NG,74.84,light rain,8.8667,5.4167,Bus group international
646,Bonavista,CA,69.8,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
647,Port Shepstone,ZA,62.85,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
651,Touros,BR,74.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
652,Shchigry,RU,60.62,clear sky,51.8755,36.9043,Базилик Щигры
656,Cerquilho,BR,61.63,overcast clouds,-23.165,-47.7436,Agência Eko Natural - Fazenda Mirante
664,Mubi,NG,72.54,overcast clouds,10.2676,13.2644,Hotel
673,Arrondissement de Niort,FR,63.59,overcast clouds,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
676,Teguise,ES,68.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
677,Guiratinga,BR,74.3,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
680,Aljezur,PT,64.36,broken clouds,37.3191,-8.8033,Amazigh Hostel
684,Toruń,PL,63.52,overcast clouds,53.0137,18.5981,Hotel Mercure Torun Centrum
687,Arrondissement de Bastia,FR,74.3,clear sky,42.6667,9.3333,Hotel Santa Maria
688,Kangaba,ML,73.83,overcast clouds,11.9333,-8.4167,Hôtel Mandé
